title
"Physical buttons outperform touchscreens in new cars, test finds"
Design the next iPhone
An odd discovery on Spotify
"Ex-Twitter exec blows the whistle, alleging reckless       cybersecurity policies"
Learn Postgres at the Playground – Postgres compiled to WASM       running in browser
"RavynOS – Finesse of macOS, freedom of FreeBSD"
See what JavaScript commands get injected through an in-app       browser
Stable Diffusion Public Release
There’s no speed limit (2009)
Maps.earth – free and open-source web maps
Nobody wants to teach anymore
A little exercise each day improves muscles more than one big       weekly workout
Good conversations have lots of doorknobs
Why I left Pine64
The downfall of smart TVs: From promises of seamless viewing to       ad tool
Google refuses to reinstate account after man took medical images       of son’s groin
Show HN: I made a web-based notepad with a built in unit       calculator
AWS switch from gzip to zstd – about 30% reduction in compressed       S3 storage
Apple expands Self Service Repair to Mac notebooks
"John Carmack's new AGI company, Keen Technologies, has raised a       $20M round"
How and why I built Japan Dev
I love my GPD Micro PC
Application submitted for US molten salt research reactor
Investors bought a quarter of US homes sold last year
uBlock Origin works best on Firefox
Programming breakthroughs we need
Stripe down for 4 hours (and counting) for all those with Stripe       Tax enabled
TSMC to begin 3nm chip production next month
Whytheluckystiff's original domain back as an archive
"6 Raspberry Pis, 6 SSDs on a Mini ITX Motherboard"
Housing is at the root of many of the rich world’s problems       (2020)
Class action against Oracle’s worldwide surveillance machine
Inky Impression 5.7“ – Colour e-ink display for Raspberry Pi
A list of developer questions to ask prospective employers
Workplace surveillance is coming for you
“Quantum-Safe” Crypto Hacked by 10-Year-Old PC
Remote startups will win the war for top talent
Tesla Virtual Power Plant
Republishing a fork of the sanctioned Tornado Cash repositories
Color has been disappearing from the world
Applying a rule from Pixar with a camera from 1961
The Jank Language: LLVM Hosted Clojure
Why React Re-Renders
Ridiculous vulnerability disclosure process with CrowdStrike       Falcon Sensor
"Instagram, TikTok, and the Three Trends"
Why don’t we do email verification in reverse?
10BASE-T using Raspberry Pi Pico with 2 GPIO pins
Audible feedback on just how much your browsing feeds into Google
Tell HN: A new way to use GPT-3 to generate code (and everything       else)
"After 50 years, Michael Heizer is finally ready to unveil City,       his life's work"
RFC 9293: Transmission Control Protocol (TCP)
Clip control on the Apple GPU
The erosion of the Mac experience
Show HN: Crawlee – Web scraping and browser automation library       for Node.js
Apple surpassed $3.5B in annual revenue from its ad network
A laptop hard drive model could crash when exposed to a certain       audio frequency
"Ask HN: Anyone working 4 day week here, as an employee?"
To Hell with Facebook (2021)
H1B rejected – builds unicorn back home
The AI Art Apocalypse
New antibody neutralizes all known SARS-CoV-2 variants in lab       tests
Risk Everything (2007)
AirTag leads to arrest of airline worker accused of stealing from       luggage
Collapse of emergency healthcare in England may be costing 500       lives every week
Study first to link weed killer Roundup to convulsions in animals
Silent crisis of soaring excess deaths in Britain is only tip of       the iceberg
"Ford F-150 Lightning: Fast Truck, Slow Computer"
I recreated famous album covers with DALL-E
I built a vector map from scratch
Apple is building an ad empire as its iPhone privacy crackdown       weakens rivals
Ask HN: Where do you find the interesting jobs?
TypeScript is terrible for library developers
The Making of Prince of Persia [pdf]
Why Apple Will Switch to ARM-Based Macs (2014)
Why is the OpenBSD documentation so good?
Physics duo finds magic in two dimensions
Perfluorocubane is (as you would expect) weird
Using the power of the sun to roast green chile
A general overview of what happens before main() (2019)
Tauri vs. Electron – Real world application
The Collapse of Complex Societies (Book Review)
Every action you take is a vote for the type of person you wish       to become
"India forced Twitter to put agent on payroll, whistleblower says"
Benefits of the Danish transfat ban for coronary heart disease       mortality
Crumb Circuit Simulator
I Reached $4k/Mo. But How Many Great Startup Ideas Have Died?
The Secretary Problem
On Corpspeak
High-speed rail board completes environmental clearance in       northern California
The world map that reboots your brain
A plain-text file format for todos and check lists
A few ops lessons we all learn the hard way (2020)
France is now offering a €4k e-bike subsidy to people who trade       in their car
"SurrealDB – Document-graph database, for the realtime web"
"Ask HN: So, what's up with Phoenix (web framework)?"
Google Timer is back
"Show HN: Pornpen.ai, AI-Generated Porn"
So you want to be a consultant? (2005)
"You can't afford to be an artist and/or author, let alone be       respected"
SSH commit verification now supported
Putting Tailscale on the Steam Deck
Engineering Festivus
“I survived the TCP transition” (2013)
VS Code – What's the deal with the telemetry?
Advanced Bash-Scripting Guide (2014)
Falsehoods programmers believe about time
Requiring MFA on popular gem maintainers
"Smoking, alcohol and high BMI are leading risk factors for global       cancer deaths"
Faster zlib/DEFLATE decompression on the Apple M1 (and x86)
Impact to DigitalOcean customers resulting from Mailchimp       security incident
Visualizing Toxic Air
New evidence shows water separates into two different liquids at       low temperature
Delphi still exists and is actively developed
Supabase-JS v2
The best and worst of 1994 and predictions for 95
A demo of GPT-3's ability to understand long instructions
"iOS VPNs have leaked traffic for years, researcher claims"
Show HN: Open Source Canva Clone
"Apple’s Use of AppKit, Mac Catalyst and SwiftUI in macOS"
What I learned working with a senior engineer as a new grad
M2 MacBook Air scores higher on Windows 11 GeekBench than pricier       Dell laptop
A robots.txt Problem
Apple M2 vs. AMD Ryzen 7 Pro 6850U Performance in Nearly 200       Benchmarks
Being-Doing Balance over Work-Life Balance
FreeBSD on the Framework Laptop
"Most Texans pay more in taxes than Californians, data suggests"
The gathering crisis in the UK
Parsing SQL
The Inner Osborne Effect (2021)
Reflections on my time in Y Combinator
A competitive multiplayer version of Conway's Game of Life
The PlanetScale serverless driver for JavaScript
"Libgen-text: complete Library Genesis, re-packaged as text only       (1.2TB)"
Float Toy
I Choose Optimism
How I learned to stop worrying and love macros
Scientists discover how mosquitoes can ‘sniff out’ humans
The Excellent Schemer
Issues with upstream DNS provider
How to identify and misidentify a brown recluse spider (2005)
Should notes be end-to-end encrypted?
Guessing C for Every Answer Is Now Enough to Pass the NY State       Algebra Exam
SEC Charges Three with Insider Trading Around Equifax Data Breach       Announcement
My black body story (it's physics)
On Being Busy
"Millet, a Language Server for SML"
DigitalOcean Region Information
Adam74: A terminal for a small 8-bit computer
Adam74: A terminal for a small 8-bit computer
"A bike tour of Dresden, the heart of Germany’s semiconductor       industry"
Show HN: GraphJSON – Easily log and analyze events using       ClickHouse
C++ Concurrency Model on x86 for Dummies (2020)
A DAW made in Excel (2020) [video]
Military drone swarms and how to combat them
How can we develop transformative tools for thought? (2019) [pdf]
Using SSH_config Match to connect to a host using multiple IP or       Hostnames
How to communicate why your startup is worth joining
The messages that survived civilisation's collapse
Put it on the crazy pile: Ideas and creativity
Wokwi – Simulate IoT Projects in the Browser
Microbiome-driven effects of non-nutritive sweeteners on human       glucose tolerance
"Amazon, Verizon found using IPv4 240/4 addresses"
Physically Based: A Database of PBR Values for Real-World       Materials
Tempest LCD: Playing songs from your LCD monitor with a radio
How to Make a CubeSat
We switched to cursor-based pagination
We used Elixir's Observer to hunt down bottlenecks
What's the big deal about embedded key-value databases?
The Google Pixel 6a highlights the problem with the U.S. phone       market
Religion as an Ego-modulator
"The James Webb Space Telescope Runs JavaScript, Apparently"
Pine64’s response to “Why I left Pine64”
Twitter CEO Parag Agrawal on whistleblower story
Using Mypy in Production
Philip K. Dick’s dystopia
"Colour evolution of Betelgeuse over two millennia, derived from       records"
The future of interactive theorem proving?
Philippines orders fraud probe after paying MacBook prices for       Celeron laptops
Faster offset pagination for Rails apps
A new vertical farm will grow 3M pounds of mycelium a year for       fungi-based bacon
Happiness Is Two Scales
Why I'm Suing YouTube
Common tech jobs described as cabals of Mesoamerican wizards
Tell HN: Stop sending unsolicited emails to developers GitHub       email
The future of Nginx: Getting back to our open source roots
"Book Review: 1587, a Year of No Significance"
Project Possible: Ascending 14 peaks in 7 months
An io_uring-based user-space block driver
The Soviets hunted whales to the brink of extinction but       scientists tracked toll
Stanford engineers present new chip that ramps up AI computing       efficiency
Ask HN: Anyone else feel trapped in FANG? How did you get out?
Cory Doctorow's next book: Chokepoint Capitalism
